"Hours","whyplay","Gender","Age","Work","Degree","GAD_T","SWL_T","SPIN_T","Anxiety_Type"
15,154,2,25,4,5,1,23,5,"No_Anxiety"
8,154,2,41,4,5,8,16,33,"SAD"
0,154,1,32,1,5,8,17,31,"SAD"
20,206,2,28,1,5,0,17,11,"No_Anxiety"
20,154,2,19,1,2,14,14,13,"GAD"
4,309,2,24,1,5,1,17,13,"No_Anxiety"
30,309,2,29,1,2,0,16,26,"SAD"
25,154,1,23,1,5,0,23,17,"No_Anxiety"
2,349,1,23,1,5,12,12,55,"Mixed_Anxiety"
25,206,1,27,1,2,10,13,26,"Mixed_Anxiety"
14,154,1,21,2,2,19,27,6,"GAD"
25,154,2,25,1,5,0,33,3,"No_Anxiety"
10,206,2,18,2,2,0,31,23,"SAD"
25,309,2,19,3,2,3,26,29,"SAD"
30,154,2,35,1,2,2,13,33,"SAD"
14,154,2,18,2,2,8,28,30,"SAD"
4,154,1,24,4,5,4,15,36,"SAD"
20,234,2,30,1,5,1,19,8,"No_Anxiety"
10,309,2,29,4,2,8,6,36,"SAD"
6,309,2,22,1,5,0,31,11,"No_Anxiety"
7,154,1,20,1,2,2,16,26,"SAD"
60,206,2,24,2,2,15,9,37,"Mixed_Anxiety"
10,154,2,33,1,4,3,31,5,"No_Anxiety"
21,154,2,41,1,5,0,35,0,"No_Anxiety"
20,154,1,25,4,5,10,8,47,"Mixed_Anxiety"
21,154,2,26,4,1,4,7,20,"SAD"
20,154,1,20,2,2,0,16,39,"SAD"
5,154,2,36,1,5,5,26,31,"SAD"
40,154,2,19,2,2,4,24,15,"No_Anxiety"
6,154,2,18,3,3,1,25,12,"No_Anxiety"
9,154,2,18,3,3,6,16,14,"No_Anxiety"
18,154,2,20,2,2,15,8,46,"Mixed_Anxiety"
8,154,2,26,1,5,2,27,11,"No_Anxiety"
9,206,1,23,1,2,0,26,39,"SAD"
6,349,1,22,4,2,2,25,60,"SAD"
7,154,2,25,2,1,1,21,29,"SAD"
18,154,1,22,2,2,4,24,17,"No_Anxiety"
18,206,2,24,2,2,14,13,13,"GAD"
10,154,1,24,2,2,7,11,41,"SAD"
20,154,2,21,2,1,5,27,8,"No_Anxiety"
10,154,1,18,2,2,14,17,24,"Mixed_Anxiety"
10,154,2,18,3,2,4,15,9,"No_Anxiety"
12,154,2,27,1,5,0,23,1,"No_Anxiety"
7,154,2,21,2,2,7,15,17,"No_Anxiety"
5,349,2,24,2,5,13,28,3,"GAD"
22.2473574512431,349,2,20,2,2,8,14,38,"SAD"
4,206,2,18,3,2,5,22,30,"SAD"
20,309,1,25,1,5,7,20,24,"SAD"
25,206,2,18,2,2,11,10,17,"GAD"
18,154,2,18,2,3,4,16,20,"SAD"
15,206,2,18,2,2,2,20,12,"No_Anxiety"
10,154,2,28,4,5,1,13,11,"No_Anxiety"
30,154,1,21,2,2,2,28,20,"SAD"
11,154,1,22,2,2,8,28,17,"No_Anxiety"
0,154,2,19,2,2,10,8,44,"Mixed_Anxiety"
30,206,2,18,3,3,0,26,17,"No_Anxiety"
10,154,2,24,2,1,0,31,6,"No_Anxiety"
20,154,2,20,4,2,6,7,13,"No_Anxiety"
0,154,2,19,2,3,9,20,27,"SAD"
40,154,2,27,1,5,0,30,35,"SAD"
18,206,2,18,2,2,4,25,4,"No_Anxiety"
5,154,1,30,1,1,9,27,38,"SAD"
25,154,1,18,3,3,15,17,32,"Mixed_Anxiety"
1,309,1,18,2,2,18,6,64,"Mixed_Anxiety"
14,309,2,22,2,5,19,10,64,"Mixed_Anxiety"
2,309,1,24,2,5,6,28,25,"SAD"
12,349,2,18,2,2,3,24,11,"No_Anxiety"
40,154,2,19,3,2,0,31,17,"No_Anxiety"
10,206,2,40,1,2,7,16,54,"SAD"
10,154,2,18,2,2,0,25,68,"SAD"
7,154,2,19,2,2,10,35,21,"Mixed_Anxiety"
25,17,2,23,1,5,1,31,3,"No_Anxiety"
10,349,2,24,2,5,16,14,61,"Mixed_Anxiety"
25,206,2,18,3,2,19,29,47,"Mixed_Anxiety"
25,154,2,20,2,2,11,16,15,"GAD"
10,206,2,23,2,5,0,27,36,"SAD"
30,154,2,21,2,5,4,22,0,"No_Anxiety"
20,206,2,19,2,2,8,17,25,"SAD"
40,349,2,21,3,2,21,12,45,"Mixed_Anxiety"
5,154,2,19,2,2,0,25,13,"No_Anxiety"
25,154,1,34,4,1,10,22,38,"Mixed_Anxiety"
10,154,2,19,2,2,9,24,5,"No_Anxiety"
5,154,2,50,1,1,0,29,7,"No_Anxiety"
10,206,1,20,1,2,18,15,30,"Mixed_Anxiety"
20,154,1,21,2,2,7,20,30,"SAD"
45,154,2,19,2,2,3,25,30,"SAD"
11,154,2,28,1,1,8,30,30,"SAD"
12,154,2,18,2,2,5,27,11,"No_Anxiety"
25,206,2,24,2,5,8,11,34,"SAD"
9,154,2,19,2,2,18,23,17,"GAD"
6,309,2,22,2,5,4,14,13,"No_Anxiety"
20,154,2,19,2,3,8,23,13,"No_Anxiety"
6,309,1,18,3,2,12,7,11,"GAD"
20,199,1,22,2,2,6,14,47,"SAD"
10,154,2,18,2,2,17,13,31,"Mixed_Anxiety"
8,349,2,20,2,5,5,18,16,"No_Anxiety"
25,349,2,18,3,3,0,25,17,"No_Anxiety"
25,349,2,22,1,5,1,24,15,"No_Anxiety"
16,206,2,22,2,2,11,16,45,"Mixed_Anxiety"
20,206,2,27,2,2,1,23,15,"No_Anxiety"
15,206,2,20,4,2,0,18,16,"No_Anxiety"
50,206,2,20,4,2,0,29,5,"No_Anxiety"
12,349,2,18,2,2,13,8,50,"Mixed_Anxiety"
28,154,2,19,4,2,15,7,33,"Mixed_Anxiety"
25,206,2,19,2,2,3,19,21,"SAD"
42,154,2,27,1,5,0,30,15,"No_Anxiety"
20,154,1,21,1,2,15,8,21,"Mixed_Anxiety"
14,309,2,18,2,2,5,11,11,"No_Anxiety"
80,308,2,18,2,3,9,15,37,"SAD"
50,206,2,19,2,2,9,8,34,"SAD"
40,154,2,22,2,2,7,11,35,"SAD"
10,154,1,20,1,2,2,16,25,"SAD"
10,206,2,22,2,2,2,30,12,"No_Anxiety"
28,206,2,21,2,5,4,19,4,"No_Anxiety"
30,154,2,20,4,5,8,8,22,"SAD"
20,154,2,23,2,2,8,11,33,"SAD"
28,154,2,21,1,2,17,5,34,"Mixed_Anxiety"
40,206,2,23,4,2,4,17,26,"SAD"
30,154,2,18,3,2,3,9,40,"SAD"
30,349,2,18,1,2,13,29,46,"Mixed_Anxiety"
30,206,1,20,2,2,2,23,17,"No_Anxiety"
17,206,2,27,1,2,6,17,11,"No_Anxiety"
30,154,2,20,1,2,3,19,6,"No_Anxiety"
7,154,2,34,1,1,4,22,18,"No_Anxiety"
14,349,2,19,4,2,7,6,46,"SAD"
30,154,2,21,2,5,6,21,28,"SAD"
25,154,2,20,4,5,3,12,17,"No_Anxiety"
10,154,1,20,2,2,5,31,27,"SAD"
45,206,2,35,1,3,7,22,43,"SAD"
40,154,1,18,3,2,11,27,7,"GAD"
12,206,2,25,1,4,1,31,5,"No_Anxiety"
16,154,2,19,2,2,7,21,14,"No_Anxiety"
13,206,2,23,2,1,6,31,19,"SAD"
20,154,2,19,3,3,1,13,13,"No_Anxiety"
16,154,2,18,3,2,1,27,2,"No_Anxiety"
10,206,2,36,1,2,18,12,30,"Mixed_Anxiety"
12,206,2,18,1,2,2,22,16,"No_Anxiety"
21,154,2,21,2,2,10,16,23,"Mixed_Anxiety"
5,154,2,23,1,2,3,24,8,"No_Anxiety"
40,206,2,22,2,2,4,20,14,"No_Anxiety"
10,206,2,21,2,2,3,15,13,"No_Anxiety"
11,206,2,18,2,2,5,25,8,"No_Anxiety"
15,154,2,25,1,2,2,14,35,"SAD"
30,206,2,20,2,2,5,25,36,"SAD"
12,349,2,19,2,2,9,20,32,"SAD"
15,154,2,18,2,2,4,31,4,"No_Anxiety"
30,154,2,24,1,2,2,26,12,"No_Anxiety"
20,206,2,25,1,1,0,24,3,"No_Anxiety"
30,349,2,23,4,5,0,22,2,"No_Anxiety"
21,206,2,18,2,2,6,8,0,"No_Anxiety"
50,309,2,21,2,5,3,13,22,"SAD"
20,154,2,23,2,2,1,18,3,"No_Anxiety"
25,206,2,22,1,5,6,23,6,"No_Anxiety"
17,154,2,19,2,2,1,27,10,"No_Anxiety"
50,217,2,18,4,3,1,31,10,"No_Anxiety"
80,206,2,29,4,3,1,15,1,"No_Anxiety"
15,309,2,39,1,5,1,24,9,"No_Anxiety"
10,206,2,25,2,5,4,21,2,"No_Anxiety"
10,206,2,21,2,1,11,14,23,"Mixed_Anxiety"
10,206,2,19,1,2,3,8,17,"No_Anxiety"
40,206,2,25,1,2,9,22,23,"SAD"
10,154,2,18,2,2,0,28,1,"No_Anxiety"
7,206,2,19,2,2,3,23,10,"No_Anxiety"
25,206,2,20,2,2,7,15,41,"SAD"
10,154,2,18,3,2,3,21,17,"No_Anxiety"
20,154,2,23,2,5,4,30,8,"No_Anxiety"
14,206,2,29,1,5,3,33,8,"No_Anxiety"
30,206,2,22,2,2,1,21,18,"No_Anxiety"
15,206,2,29,1,1,1,25,12,"No_Anxiety"
13,349,2,18,3,3,9,20,22,"SAD"
20,206,2,18,3,3,4,17,26,"SAD"
12,154,2,25,4,5,14,13,8,"GAD"
35,309,2,21,2,5,3,17,48,"SAD"
7,206,2,19,2,3,5,18,9,"No_Anxiety"
30,206,2,21,2,5,1,29,19,"SAD"
14,154,2,29,1,4,10,17,38,"Mixed_Anxiety"
10,154,1,20,2,2,6,17,34,"SAD"
70,206,2,19,2,2,2,13,4,"No_Anxiety"
40,31,2,18,3,2,11,12,26,"Mixed_Anxiety"
15,206,2,29,1,4,0,31,0,"No_Anxiety"
8,206,2,21,2,5,12,11,32,"Mixed_Anxiety"
8,206,2,23,1,1,0,12,5,"No_Anxiety"
30,154,2,19,4,2,1,15,21,"SAD"
0,349,2,29,1,2,7,12,26,"SAD"
40,154,2,21,4,2,0,9,19,"SAD"
21,154,2,18,3,3,8,17,51,"SAD"
50,206,2,18,3,3,8,25,21,"SAD"
20,206,2,18,3,2,4,22,12,"No_Anxiety"
12,206,2,31,1,2,2,25,11,"No_Anxiety"
25,206,2,25,2,1,0,35,2,"No_Anxiety"
13,206,2,25,1,5,8,21,35,"SAD"
20,154,2,19,2,5,19,15,28,"Mixed_Anxiety"
8,206,2,24,1,5,8,18,17,"No_Anxiety"
8,206,2,26,1,5,0,24,9,"No_Anxiety"
